City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,76.71,broken clouds,-23.1203,-134.9692,People ThankYou
2,Kieta,PG,79.11,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
3,Vaini,TO,73.56,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
12,Hilo,US,76.73,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Cabedelo,BR,75.87,light rain,-6.9811,-34.8339,Hotel Pigalle
36,Atar,MR,77.85,clear sky,20.5169,-13.0499,Oumou Elghoura
42,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
43,Chuy,UY,71.62,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
50,Atuona,PF,79.95,broken clouds,-9.8,-139.0333,Villa Enata
51,Buin,CL,78.06,clear sky,-33.7333,-70.75,Paihuen
58,Castro,BR,71.73,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
61,Quelimane,MZ,75.58,scattered clouds,-17.8786,36.8883,Hotel Flamingo
71,East London,ZA,72.39,overcast clouds,-33.0153,27.9116,Tu Casa
78,Saint-Philippe,RE,74.79,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
82,Sambava,MG,77.65,light rain,-14.2667,50.1667,Melrose
84,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
109,Jalu,LY,78.8,clear sky,29.0331,21.5482,صاحبة الفخامة
110,San Pedro,PH,79.27,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
114,Dingle,PH,75.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
115,Kahului,US,78.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
117,Maragogi,BR,79.86,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
124,Mathbaria,BD,78.64,few clouds,22.2876,89.9593,Shikdar Hotel
125,Hualmay,PE,73.51,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
128,Inhambane,MZ,78.04,clear sky,-23.865,35.3833,Oceano
132,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Sao Filipe,CV,71.13,clear sky,14.8961,-24.4956,Hotel Xaguate
140,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
142,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
155,Coruripe,BR,79.95,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
162,Teluk Nibung,ID,74.84,moderate rain,3.001,99.8164,Hotel Assyifa
166,Moranbah,AU,70.92,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
171,Vilhena,BR,79.88,overcast clouds,-12.7406,-60.1458,Hotel Mirage
176,Bengkulu,ID,76.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
180,Sambhar,IN,76.68,clear sky,26.9167,75.2,Sambhar Heritage Resort
182,Santa Fe,AR,78.01,scattered clouds,-31.6333,-60.7,Conquistador Hotel
186,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
193,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
195,Vao,NC,79.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
196,Mayumba,GA,77.88,scattered clouds,-3.432,10.6554,LIKWALE LODGE
207,Elat,IL,76.84,clear sky,29.5581,34.9482,Club Hotel Eilat
213,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
216,Saint-Joseph,RE,73.78,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
218,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
231,Porbandar,IN,78.46,clear sky,21.6422,69.6093,Lords Inn Porbandar
234,Itarema,BR,79.29,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
236,Luwuk,ID,77.88,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
237,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
242,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
245,Kutum,SD,79.27,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
250,Huarmey,PE,74.97,few clouds,-10.0681,-78.1522,Hotel Miramar
254,Martapura,ID,75.29,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
260,Chumphon,TH,70.32,light rain,10.3333,98.8333,สกาน จ๋า.
261,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
270,Sorong,ID,78.03,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
271,La Palma,US,70.29,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
274,Jiwani,PK,78.22,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
279,Nizwa,OM,77.72,clear sky,22.9333,57.5333,Orient Apartments
285,Clovis,US,76.84,scattered clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
290,Saint George,US,74.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
291,Sherwood,US,73.98,few clouds,34.8151,-92.2243,"Holiday Inn Express & Suites North Little Rock, an IHG Hotel"
298,Yokadouma,CM,72.0,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
299,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
312,Lom Sak,TH,72.48,overcast clouds,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
315,Turayf,SA,72.09,overcast clouds,31.6725,38.6637,Turaif
316,Namibe,AO,70.88,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
319,Los Lunas,US,77.04,overcast clouds,34.8062,-106.7334,Western Skies Inns & Suites
322,Tuy Hoa,VN,71.15,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
323,Attur,IN,77.49,overcast clouds,11.6,78.6167,Sundaresan CSC centre
324,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
328,Labuhan,ID,75.49,overcast clouds,-6.8844,112.2051,DoubleFAG
329,Amalapuram,IN,76.33,few clouds,16.5833,82.0167,swayamprabha service apartments
330,Angoche,MZ,78.31,clear sky,-16.2325,39.9086,Guest House HESADA
335,Ilhabela,BR,77.23,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
338,Methala,IN,78.8,broken clouds,10.2166,76.2166,Style Homes Holiday Inn
344,San Isidro,PE,71.19,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
348,Bubaque,GW,75.2,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
356,Palu,ID,74.82,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
358,Tra Vinh,VN,76.21,overcast clouds,9.9347,106.3453,Hồng Ân
359,Chiredzi,ZW,76.21,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
367,Korba,IN,76.53,clear sky,22.35,82.6833,Hotel Deendayal
370,Padang,ID,75.87,scattered clouds,-0.9492,100.3543,Mercure Padang
373,Wembley,AU,71.69,broken clouds,-31.9333,115.8,Cambridge Atrium
378,Tabuk,PH,71.85,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
381,Meulaboh,ID,74.25,overcast clouds,4.1363,96.1285,Kost Pria
389,Iracoubo,GF,79.18,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
394,Rocha,UY,71.31,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
403,Saint-Pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
404,Ca Mau,VN,77.02,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
407,Pa Sang,TH,76.01,few clouds,18.5262,98.9394,โรงแรม จามจุรี 99
410,Hambantota,LK,78.1,few clouds,6.1241,81.1185,Bungalow 63
415,Marang,MY,75.6,overcast clouds,5.2056,103.2059,DBarakah Homestay
423,Komatipoort,ZA,77.05,overcast clouds,-25.4332,31.9548,Kruger View Backpackers
424,Valparaiso,CL,73.63,clear sky,-33.0393,-71.6273,Hotel Ultramar
428,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
429,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
431,Gat,IL,72.39,overcast clouds,31.61,34.7642,OlusHome
433,Trujillo,PE,71.56,fog,-8.116,-79.03,Casa Andina Standard Trujillo Plaza
439,Mackay,AU,75.69,light rain,-21.15,149.2,International Lodge Motel
443,Richards Bay,ZA,75.47,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
448,Marovoay,MG,76.48,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
450,Honiara,SB,79.0,overcast clouds,-9.4333,159.95,Heritage Park Hotel
455,Manakara,MG,73.29,scattered clouds,-22.1333,48.0167,La Residence Manakara
456,Cairns,AU,76.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
459,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
466,Sola,VU,79.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
467,Moron,AR,71.02,overcast clouds,-34.6534,-58.6198,Hotel Morón
472,Kuala Lumpur,MY,78.33,moderate rain,3.1431,101.6865,Sheraton Imperial Kuala Lumpur Hotel
473,Touros,BR,79.02,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
474,Vikindu,TZ,76.84,few clouds,-7.0067,39.2985,RUTA GUEST HOUSE
475,Cuetzalan,MX,78.67,overcast clouds,20.0333,-97.5167,Hotel La Casa De Piedra
482,Dwarka,IN,78.28,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
486,Charters Towers,AU,72.54,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
501,Bonthe,SL,78.82,few clouds,7.5264,-12.505,Bonthe Holiday Village
508,Macapa,BR,78.78,moderate rain,0.0389,-51.0664,Atalanta Hotel
513,Mbalmayo,CM,72.46,overcast clouds,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
520,Pathanamthitta,IN,75.06,few clouds,9.2667,76.7833,Vijaya Residency
521,Half Moon Bay,US,78.62,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
528,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
529,Russell,US,75.96,clear sky,32.3502,-85.1999,Macs
531,Gorontalo,ID,75.0,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
536,Banda Aceh,ID,77.36,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
552,Bintulu,MY,75.27,scattered clouds,3.1667,113.0333,900 Boutique INN
558,Bambanglipuro,ID,76.06,overcast clouds,-7.95,110.2833,Puri Brata
559,Svay Rieng,KH,75.54,overcast clouds,11.0879,105.7993,Apsara guesthouse
566,Acarau,BR,79.95,moderate rain,-2.8856,-40.12,castelo pizzaria
570,Sakakah,SA,78.64,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
574,Natal,BR,77.65,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
581,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
583,Prieska,ZA,70.2,clear sky,-29.6641,22.7474,Avenue GuestHouse
589,Sibiti,CG,71.58,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
598,Esqueda,MX,76.71,overcast clouds,30.7167,-109.5833,Hotel Esqueda
600,Sattahip,TH,75.97,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
602,Molina,CL,70.38,clear sky,-35.1167,-71.2833,Hostal Pucará
606,Carutapera,BR,79.02,moderate rain,-1.195,-46.02,Lidera
607,Namatanai,PG,78.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
608,Rayachoti,IN,77.65,overcast clouds,14.05,78.75,Swetha lodge
610,Tekkali,IN,77.27,broken clouds,18.6167,84.2333,Spoorthi function hall
620,Amahai,ID,78.1,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
625,Kiunga,PG,72.43,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
